"";"gradyear";"gender";"age";"friends";"basketball";"football";"soccer";"softball";"volleyball";"swimming";"cheerleading";"baseball";"tennis";"sports";"cute";"sex";"sexy";"hot";"kissed";"dance";"band";"marching";"music";"rock";"god";"church";"jesus";"bible";"hair";"dress";"blonde";"mall";"shopping";"clothes";"hollister";"abercrombie";"die";"death";"drunk";"drugs"
"1";2007;NA;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";2007;"F";"17.41";49;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"3";2007;"F";"17.511";41;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;2;0;1;0;0;4;0;0;1;0;0;0;0;0;0;1;1
"4";2006;"F";"";36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";2008;"F";"16.657";1;0;0;0;0;0;1;0;0;3;0;6;0;2;0;0;0;0;0;1;0;1;1;0;0;5;0;0;0;0;3;0;0;0;0;0;0
"6";2008;"M";"18.034";32;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";2006;"M";"18.53";18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"8";2006;"F";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";2006;"F";"19.168";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";2007;NA;"";21;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"11";2009;NA;"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"12";2006;NA;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";2006;"F";"18.535";29;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";2006;"F";"";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";2008;"M";"16.83";89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"16";2007;"F";"17.697";37;0;1;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"17";2008;NA;"";89;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";2009;"F";"15.696";98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";2008;"F";"16.569";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"20";2008;"F";"16.78";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"21";2008;"F";"17.15";0;0;0;0;0;3;2;0;0;0;1;6;0;2;0;0;1;0;0;2;3;1;0;0;0;4;0;1;1;0;2;0;0;1;0;0;0
"22";2006;"F";"18.045";48;0;1;0;0;0;0;0;3;3;0;0;0;0;3;0;0;1;0;2;0;1;9;1;0;2;0;0;0;0;0;0;0;1;0;0;0
"23";2006;"F";"18.261";86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;4;1;0;1;2;1;0;0;2;0;0;0
"24";2007;"F";"18.149";93;1;0;0;0;2;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"25";2007;"M";"18.136";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";2008;"F";"16.821";64;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"27";2006;"F";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"28";2007;NA;"";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";2009;"M";"17.095";85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";2009;"F";"15.302";16;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";2007;"F";"18.037";36;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"32";2007;"F";"17.503";66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0
"33";2008;"F";"16.873";15;0;2;0;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"34";2009;"M";"15.702";17;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";2007;"F";"17.383";39;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"36";2007;"F";"";61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
"37";2008;NA;"";49;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
"38";2006;"M";"";92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"39";2006;"F";"18.437";162;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0
"40";2007;"F";"17.73";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"41";2007;"M";"18.021";70;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"42";2006;"F";"18.171";21;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;1;3;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
"43";2009;"F";"16.008";28;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
